"Position","Track.Name","Artist","Streams","songId","Month","Region"
10,"Super Far","LANY",3471677,"74ODGXs4byLTRdnKGM4s6E","2017-11-01","ph"
11,"Versace On The Floor","Bruno Mars",0,"0kN8xEmgMW9mh7UmDYHlJP","2017-11-01","ph"
11,"Say You Won't Let Go","James Arthur",0,"5uCax9HTNlzGybIStD3vDh","2017-11-01","ph"
11,"Closer","The Chainsmokers",0,"7BKLCZ1jbUBVqRi2FVlTVw","2017-11-01","ph"
11,"Don't Wanna Know","Maroon 5",0,"5MFzQMkrl1FOOng9tq6R9r","2017-11-01","ph"
11,"Shape of You","Ed Sheeran",0,"7qiZfU4dY1lWllzX7mPBI3","2017-11-01","ph"
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",0,"3NdDpSvN911VPGivFlV5d0","2017-11-01","ph"
11,"All We Know","The Chainsmokers",0,"2rizacJSyD9S1IQUxUxnsK","2017-11-01","ph"
11,"Hayaan Mo Sila (Inspired by I'm the One)","O.C. Dawgs",0,"3YQp6N0vdiLEhpqKjRcN2L","2017-11-01","ph"
11,"24K Magic","Bruno Mars",0,"6b8Be6ljOzmkOmFslEb23P","2017-11-01","ph"
11,"Paris","The Chainsmokers",0,"72jbDTw1piOOj770jWNeaG","2017-11-01","ph"
11,"That's What I Like","Bruno Mars",0,"0KKkJNfGyhkQ5aFogxQAPU","2017-11-01","ph"
11,"How Far I'll Go - From ""Moana""","Alessia Cara",0,"5hYTyyh2odQKphUbMqc5gN","2017-11-01","ph"
11,"Something Just Like This","The Chainsmokers",0,"6RUKPb4LETWmmr3iAEQktW","2017-11-01","ph"
11,"Starving","Hailee Steinfeld",0,"1qOLh0tI7trd1zdDKxYZTe","2017-11-01","ph"
11,"It Ain't Me (with Selena Gomez)","Kygo",0,"3eR23VReFzcdmS7TYCrhCe","2017-11-01","ph"
11,"美女と野獣","Ariana Grande",0,"1KT0xdIjm7t053xByACrrg","2017-11-01","ph"
11,"Stay (with Alessia Cara)","Zedd",0,"0dA2Mk56wEzDgegdC6R17g","2017-11-01","ph"
11,"Symphony (feat. Zara Larsson)","Clean Bandit",0,"1x5sYLZiu9r5E43kMlt9f8","2017-11-01","ph"
11,"I'm the One","DJ Khaled",0,"72Q0FQQo32KJloivv5xge2","2017-11-01","ph"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-11-01","ph"
11,"Attention","Charlie Puth",0,"4iLqG9SeJSnt0cSPICSjxv","2017-11-01","ph"
11,"I'm the One","DJ Khaled",0,"3DXncPQOG4VBw3QHh3S817","2017-11-01","ph"
11,"Strip That Down","Liam Payne",0,"6EpRaXYhGOB3fj4V2uDkMJ","2017-11-01","ph"
11,"Mama","Jonas Blue",0,"0NiXXAI876aGImAd6rTj8w","2017-11-01","ph"
11,"2U (feat. Justin Bieber)","David Guetta",0,"3A7qX2QjDlPnazUsRk5y0M","2017-11-01","ph"
11,"Mama","Jonas Blue",0,"4xlrALxuaCf9yZBHJeTSG6","2017-11-01","ph"
11,"There for You","Martin Garrix",0,"6jA8HL9i4QGzsj6fjoxp8Y","2017-11-01","ph"
11,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",0,"1NDxZ7cFAo481dtYWdrUnR","2017-11-01","ph"
11,"Two Less Lonely People in the World (Official Movie Theme Song Of ""Kita Kita"")","KZ Tandingan",0,"46ixegtxjERQMCutmp09Sa","2017-11-01","ph"
11,"Look What You Made Me Do","Taylor Swift",0,"2VjtYe7gpfUi2OkGxR2O2z","2017-11-01","ph"
11,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",0,"7F9vK8hNFMml4GtHsaXui6","2017-11-01","ph"
11,"Look What You Made Me Do","Taylor Swift",0,"6uFsE1JgZ20EXyU0JQZbUR","2017-11-01","ph"
11,"Too Good At Goodbyes - Edit","Sam Smith",0,"0mel2N9Ws9r4yLQn5QE21Y","2017-11-01","ph"
11,"What Lovers Do (feat. SZA)","Maroon 5",0,"4mxWSdf71VFO52qFeY0fZt","2017-11-01","ph"
11,"Torete - From ""Love You to the Stars And Back""","Moira Dela Torre",0,"4aUf4lzQ1di5JajZ4a9FuI","2017-11-01","ph"
11,"Titibo-Tibo","Moira Dela Torre",0,"42nrX5b8ZUYRcw2puNY8tb","2017-11-01","ph"
1,"Havana","Camila Cabello",6279290,"0ofbQMrRDsUaVKq2mGLEAb","2017-12-01","ph"
2,"Too Good At Goodbyes","Sam Smith",5896075,"1mXVgsBdtIVeCLJnSnmtdV","2017-12-01","ph"
3,"Perfect","Ed Sheeran",5720339,"0tgVpDi06FyKpA1z0VMD4v","2017-12-01","ph"
4,"Titibo-Tibo","Moira Dela Torre",5332124,"42nrX5b8ZUYRcw2puNY8tb","2017-12-01","ph"
5,"What Lovers Do (feat. SZA)","Maroon 5",5124095,"3hBBKuWJfxlIlnd9QFoC8k","2017-12-01","ph"
6,"Young Dumb & Broke","Khalid",4848724,"5Z3GHaZ6ec9bsiI5BenrbY","2017-12-01","ph"
7,"New Rules","Dua Lipa",4798212,"2ekn2ttSfGqwhhate0LSR0","2017-12-01","ph"
8,"Malaya (Camp Sawi Original Motion Picture Soundtrack)","Moira Dela Torre",4087935,"6M21eWbEw74XDdoQsNIinq","2017-12-01","ph"
9,"Super Far","LANY",3378553,"74ODGXs4byLTRdnKGM4s6E","2017-12-01","ph"
10,"Wolves","Selena Gomez",2171282,"7EmGUiUaOSGDnUUQUDrOXC","2017-12-01","ph"
11,"Versace On The Floor","Bruno Mars",0,"0kN8xEmgMW9mh7UmDYHlJP","2017-12-01","ph"
11,"Say You Won't Let Go","James Arthur",0,"5uCax9HTNlzGybIStD3vDh","2017-12-01","ph"
11,"Closer","The Chainsmokers",0,"7BKLCZ1jbUBVqRi2FVlTVw","2017-12-01","ph"
11,"Don't Wanna Know","Maroon 5",0,"5MFzQMkrl1FOOng9tq6R9r","2017-12-01","ph"
11,"Shape of You","Ed Sheeran",0,"7qiZfU4dY1lWllzX7mPBI3","2017-12-01","ph"
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",0,"3NdDpSvN911VPGivFlV5d0","2017-12-01","ph"
11,"All We Know","The Chainsmokers",0,"2rizacJSyD9S1IQUxUxnsK","2017-12-01","ph"
11,"Hayaan Mo Sila (Inspired by I'm the One)","O.C. Dawgs",0,"3YQp6N0vdiLEhpqKjRcN2L","2017-12-01","ph"
11,"24K Magic","Bruno Mars",0,"6b8Be6ljOzmkOmFslEb23P","2017-12-01","ph"
11,"Paris","The Chainsmokers",0,"72jbDTw1piOOj770jWNeaG","2017-12-01","ph"
11,"That's What I Like","Bruno Mars",0,"0KKkJNfGyhkQ5aFogxQAPU","2017-12-01","ph"
11,"How Far I'll Go - From ""Moana""","Alessia Cara",0,"5hYTyyh2odQKphUbMqc5gN","2017-12-01","ph"
11,"Something Just Like This","The Chainsmokers",0,"6RUKPb4LETWmmr3iAEQktW","2017-12-01","ph"
11,"Starving","Hailee Steinfeld",0,"1qOLh0tI7trd1zdDKxYZTe","2017-12-01","ph"
11,"It Ain't Me (with Selena Gomez)","Kygo",0,"3eR23VReFzcdmS7TYCrhCe","2017-12-01","ph"
11,"美女と野獣","Ariana Grande",0,"1KT0xdIjm7t053xByACrrg","2017-12-01","ph"
11,"Stay (with Alessia Cara)","Zedd",0,"0dA2Mk56wEzDgegdC6R17g","2017-12-01","ph"
11,"Symphony (feat. Zara Larsson)","Clean Bandit",0,"1x5sYLZiu9r5E43kMlt9f8","2017-12-01","ph"
11,"I'm the One","DJ Khaled",0,"72Q0FQQo32KJloivv5xge2","2017-12-01","ph"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-12-01","ph"
11,"Attention","Charlie Puth",0,"4iLqG9SeJSnt0cSPICSjxv","2017-12-01","ph"
11,"I'm the One","DJ Khaled",0,"3DXncPQOG4VBw3QHh3S817","2017-12-01","ph"
11,"Strip That Down","Liam Payne",0,"6EpRaXYhGOB3fj4V2uDkMJ","2017-12-01","ph"
11,"Mama","Jonas Blue",0,"0NiXXAI876aGImAd6rTj8w","2017-12-01","ph"
11,"2U (feat. Justin Bieber)","David Guetta",0,"3A7qX2QjDlPnazUsRk5y0M","2017-12-01","ph"
11,"Mama","Jonas Blue",0,"4xlrALxuaCf9yZBHJeTSG6","2017-12-01","ph"
11,"There for You","Martin Garrix",0,"6jA8HL9i4QGzsj6fjoxp8Y","2017-12-01","ph"
11,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",0,"1NDxZ7cFAo481dtYWdrUnR","2017-12-01","ph"
11,"Two Less Lonely People in the World (Official Movie Theme Song Of ""Kita Kita"")","KZ Tandingan",0,"46ixegtxjERQMCutmp09Sa","2017-12-01","ph"
11,"I Like Me Better","Lauv",0,"1wjzFQodRWrPcQ0AnYnvQ9","2017-12-01","ph"
11,"Look What You Made Me Do","Taylor Swift",0,"2VjtYe7gpfUi2OkGxR2O2z","2017-12-01","ph"
11,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",0,"7F9vK8hNFMml4GtHsaXui6","2017-12-01","ph"
11,"Look What You Made Me Do","Taylor Swift",0,"6uFsE1JgZ20EXyU0JQZbUR","2017-12-01","ph"
11,"Too Good At Goodbyes - Edit","Sam Smith",0,"0mel2N9Ws9r4yLQn5QE21Y","2017-12-01","ph"
11,"What Lovers Do (feat. SZA)","Maroon 5",0,"4mxWSdf71VFO52qFeY0fZt","2017-12-01","ph"
11,"Torete - From ""Love You to the Stars And Back""","Moira Dela Torre",0,"4aUf4lzQ1di5JajZ4a9FuI","2017-12-01","ph"
