"Position","Track.Name","Artist","Streams","songId","Month","Region"
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",0,"3NdDpSvN911VPGivFlV5d0","2017-10-01","ch"
11,"Call On Me - Ryan Riback Extended Remix","Starley",0,"78rIJddV4X0HkNAInEcYde","2017-10-01","ch"
11,"Say You Won't Let Go","James Arthur",0,"5uCax9HTNlzGybIStD3vDh","2017-10-01","ch"
11,"Starboy","The Weeknd",0,"5aAx2yezTd8zXrkmtKl66Z","2017-10-01","ch"
11,"River (feat. Ed Sheeran)","Eminem",0,"5UEnHoDYpsxlfzWLZIc7LD","2017-10-01","ch"
11,"Castle on the Hill","Ed Sheeran",0,"6PCUP3dWmTjcTtXY02oFdT","2017-10-01","ch"
11,"Wolves","Selena Gomez",0,"7EmGUiUaOSGDnUUQUDrOXC","2017-10-01","ch"
11,"Let Me Love You","DJ Snake",0,"4pdPtRcBmOSQDlJ3Fk945m","2017-10-01","ch"
11,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",0,"4aWmUDTfIPGksMNLV2rQP2","2017-10-01","ch"
11,"Paris","The Chainsmokers",0,"72jbDTw1piOOj770jWNeaG","2017-10-01","ch"
11,"Scared to Be Lonely","Martin Garrix",0,"3ebXMykcMXOcLeJ9xZ17XH","2017-10-01","ch"
11,"It Ain't Me (with Selena Gomez)","Kygo",0,"3eR23VReFzcdmS7TYCrhCe","2017-10-01","ch"
11,"Something Just Like This","The Chainsmokers",0,"6RUKPb4LETWmmr3iAEQktW","2017-10-01","ch"
11,"Galway Girl","Ed Sheeran",0,"0afhq8XCExXpqazXczTSve","2017-10-01","ch"
11,"Passionfruit","Drake",0,"7hDc8b7IXETo14hHIHdnhd","2017-10-01","ch"
11,"Mask Off","Future",0,"3rOSwuTsUlJp0Pu0MkN8r8","2017-10-01","ch"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-10-01","ch"
11,"Symphony (feat. Zara Larsson)","Clean Bandit",0,"1x5sYLZiu9r5E43kMlt9f8","2017-10-01","ch"
11,"HUMBLE.","Kendrick Lamar",0,"7KXjTSCq5nL1LoYtL7XAwS","2017-10-01","ch"
11,"You Don't Know Me - Radio Edit","Jax Jones",0,"00lNx0OcTJrS3MKHcB80HY","2017-10-01","ch"
11,"I'm the One","DJ Khaled",0,"72Q0FQQo32KJloivv5xge2","2017-10-01","ch"
11,"Unforgettable","French Montana",0,"1F2HXIJrE2Xn81OzT2zZvW","2017-10-01","ch"
11,"SUBEME LA RADIO","Enrique Iglesias",0,"7nKBxz47S9SD79N086fuhn","2017-10-01","ch"
11,"2U (feat. Justin Bieber)","David Guetta",0,"3A7qX2QjDlPnazUsRk5y0M","2017-10-01","ch"
11,"I'm the One","DJ Khaled",0,"3DXncPQOG4VBw3QHh3S817","2017-10-01","ch"
11,"Wild Thoughts","DJ Khaled",0,"1OAh8uOEOvTDqkKFsKksCi","2017-10-01","ch"
11,"Thunder","Imagine Dragons",0,"0tKcYR2II1VCQWT79i5NrW","2017-10-01","ch"
11,"Mama","Jonas Blue",0,"0NiXXAI876aGImAd6rTj8w","2017-10-01","ch"
11,"More Than You Know","Axwell /\ Ingrosso",0,"4q8PHoRsPUB52LFylX8Ulz","2017-10-01","ch"
11,"Friends (with BloodPop®)","Justin Bieber",0,"7nZmah2llfvLDiUjm0kiyz","2017-10-01","ch"
11,"Feels","Calvin Harris",0,"5bcTCxgc7xVfSaMV3RuVke","2017-10-01","ch"
11,"Too Good At Goodbyes - Edit","Sam Smith",0,"0mel2N9Ws9r4yLQn5QE21Y","2017-10-01","ch"
11,"Look What You Made Me Do","Taylor Swift",0,"6uFsE1JgZ20EXyU0JQZbUR","2017-10-01","ch"
11,"Perfect","Ed Sheeran",0,"0tgVpDi06FyKpA1z0VMD4v","2017-10-01","ch"
11,"Was Du Liebe nennst","Bausa",0,"4hKWUzhQWsOkgT6LnDEASe","2017-10-01","ch"
11,"What Lovers Do (feat. SZA)","Maroon 5",0,"3hBBKuWJfxlIlnd9QFoC8k","2017-10-01","ch"
11,"Too Good At Goodbyes","Sam Smith",0,"1mXVgsBdtIVeCLJnSnmtdV","2017-10-01","ch"
11,"All I Want for Christmas Is You","Mariah Carey",0,"0bYg9bo50gSsH3LtXe2SQn","2017-10-01","ch"
11,"Échame La Culpa","Luis Fonsi",0,"1zsG4eaZmkA1dvjDDsAGLK","2017-10-01","ch"
11,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",0,"1bhUWB0zJMIKr9yVPrkEuI","2017-10-01","ch"
1,"rockstar","Post Malone",982394,"7wGoVu4Dady5GV0Sv4UIsx","2017-11-01","ch"
2,"Havana","Camila Cabello",840554,"0ofbQMrRDsUaVKq2mGLEAb","2017-11-01","ch"
3,"Dusk Till Dawn - Radio Edit","ZAYN",692212,"1j4kHkkpqZRBwE0A4CN4Yv","2017-11-01","ch"
4,"Perfect","Ed Sheeran",652360,"0tgVpDi06FyKpA1z0VMD4v","2017-11-01","ch"
5,"Was Du Liebe nennst","Bausa",650972,"4hKWUzhQWsOkgT6LnDEASe","2017-11-01","ch"
6,"What Lovers Do (feat. SZA)","Maroon 5",520543,"3hBBKuWJfxlIlnd9QFoC8k","2017-11-01","ch"
7,"Too Good At Goodbyes","Sam Smith",421918,"1mXVgsBdtIVeCLJnSnmtdV","2017-11-01","ch"
8,"New Rules","Dua Lipa",600556,"2ekn2ttSfGqwhhate0LSR0","2017-11-01","ch"
9,"Stargazing","Kygo",531784,"0Zbbxnx4SGGHoIow4PpISP","2017-11-01","ch"
10,"Wolves","Selena Gomez",471915,"7EmGUiUaOSGDnUUQUDrOXC","2017-11-01","ch"
11,"Shape of You","Ed Sheeran",0,"7qiZfU4dY1lWllzX7mPBI3","2017-11-01","ch"
11,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",0,"5knuzwU65gJK7IF5yJsuaW","2017-11-01","ch"
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",0,"3NdDpSvN911VPGivFlV5d0","2017-11-01","ch"
11,"Call On Me - Ryan Riback Extended Remix","Starley",0,"78rIJddV4X0HkNAInEcYde","2017-11-01","ch"
11,"Say You Won't Let Go","James Arthur",0,"5uCax9HTNlzGybIStD3vDh","2017-11-01","ch"
11,"Starboy","The Weeknd",0,"5aAx2yezTd8zXrkmtKl66Z","2017-11-01","ch"
11,"River (feat. Ed Sheeran)","Eminem",0,"5UEnHoDYpsxlfzWLZIc7LD","2017-11-01","ch"
11,"Castle on the Hill","Ed Sheeran",0,"6PCUP3dWmTjcTtXY02oFdT","2017-11-01","ch"
11,"Let Me Love You","DJ Snake",0,"4pdPtRcBmOSQDlJ3Fk945m","2017-11-01","ch"
11,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",0,"4aWmUDTfIPGksMNLV2rQP2","2017-11-01","ch"
11,"Paris","The Chainsmokers",0,"72jbDTw1piOOj770jWNeaG","2017-11-01","ch"
11,"Scared to Be Lonely","Martin Garrix",0,"3ebXMykcMXOcLeJ9xZ17XH","2017-11-01","ch"
11,"It Ain't Me (with Selena Gomez)","Kygo",0,"3eR23VReFzcdmS7TYCrhCe","2017-11-01","ch"
11,"Something Just Like This","The Chainsmokers",0,"6RUKPb4LETWmmr3iAEQktW","2017-11-01","ch"
11,"Galway Girl","Ed Sheeran",0,"0afhq8XCExXpqazXczTSve","2017-11-01","ch"
11,"Passionfruit","Drake",0,"7hDc8b7IXETo14hHIHdnhd","2017-11-01","ch"
11,"Mask Off","Future",0,"3rOSwuTsUlJp0Pu0MkN8r8","2017-11-01","ch"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-11-01","ch"
11,"Symphony (feat. Zara Larsson)","Clean Bandit",0,"1x5sYLZiu9r5E43kMlt9f8","2017-11-01","ch"
11,"HUMBLE.","Kendrick Lamar",0,"7KXjTSCq5nL1LoYtL7XAwS","2017-11-01","ch"
11,"You Don't Know Me - Radio Edit","Jax Jones",0,"00lNx0OcTJrS3MKHcB80HY","2017-11-01","ch"
11,"I'm the One","DJ Khaled",0,"72Q0FQQo32KJloivv5xge2","2017-11-01","ch"
11,"Unforgettable","French Montana",0,"1F2HXIJrE2Xn81OzT2zZvW","2017-11-01","ch"
11,"SUBEME LA RADIO","Enrique Iglesias",0,"7nKBxz47S9SD79N086fuhn","2017-11-01","ch"
11,"Unforgettable","French Montana",0,"3B54sVLJ402zGa6Xm4YGNe","2017-11-01","ch"
11,"2U (feat. Justin Bieber)","David Guetta",0,"3A7qX2QjDlPnazUsRk5y0M","2017-11-01","ch"
11,"I'm the One","DJ Khaled",0,"3DXncPQOG4VBw3QHh3S817","2017-11-01","ch"
11,"Wild Thoughts","DJ Khaled",0,"1OAh8uOEOvTDqkKFsKksCi","2017-11-01","ch"
11,"Thunder","Imagine Dragons",0,"0tKcYR2II1VCQWT79i5NrW","2017-11-01","ch"
11,"Mama","Jonas Blue",0,"0NiXXAI876aGImAd6rTj8w","2017-11-01","ch"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-11-01","ch"
11,"More Than You Know","Axwell /\ Ingrosso",0,"4q8PHoRsPUB52LFylX8Ulz","2017-11-01","ch"
11,"More Than You Know","Axwell /\ Ingrosso",0,"3PEgB3fkiojxms35ntsTgs","2017-11-01","ch"
11,"Friends (with BloodPop®)","Justin Bieber",0,"7nZmah2llfvLDiUjm0kiyz","2017-11-01","ch"
11,"Feels","Calvin Harris",0,"5bcTCxgc7xVfSaMV3RuVke","2017-11-01","ch"
11,"rockstar","Post Malone",0,"1OmcAT5Y8eg5bUPv9qJT4R","2017-11-01","ch"
11,"Too Good At Goodbyes - Edit","Sam Smith",0,"0mel2N9Ws9r4yLQn5QE21Y","2017-11-01","ch"
11,"Look What You Made Me Do","Taylor Swift",0,"6uFsE1JgZ20EXyU0JQZbUR","2017-11-01","ch"
11,"What Lovers Do (feat. SZA)","Maroon 5",0,"4mxWSdf71VFO52qFeY0fZt","2017-11-01","ch"
11,"All I Want for Christmas Is You","Mariah Carey",0,"0bYg9bo50gSsH3LtXe2SQn","2017-11-01","ch"
11,"Échame La Culpa","Luis Fonsi",0,"1zsG4eaZmkA1dvjDDsAGLK","2017-11-01","ch"
11,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",0,"1bhUWB0zJMIKr9yVPrkEuI","2017-11-01","ch"
1,"rockstar","Post Malone",849026,"7wGoVu4Dady5GV0Sv4UIsx","2017-12-01","ch"
2,"Havana","Camila Cabello",723291,"0ofbQMrRDsUaVKq2mGLEAb","2017-12-01","ch"
3,"Was Du Liebe nennst","Bausa",616698,"4hKWUzhQWsOkgT6LnDEASe","2017-12-01","ch"
4,"River (feat. Ed Sheeran)","Eminem",455863,"5UEnHoDYpsxlfzWLZIc7LD","2017-12-01","ch"
5,"All I Want for Christmas Is You","Mariah Carey",424320,"0bYg9bo50gSsH3LtXe2SQn","2017-12-01","ch"
6,"Échame La Culpa","Luis Fonsi",488115,"1zsG4eaZmkA1dvjDDsAGLK","2017-12-01","ch"
7,"Perfect","Ed Sheeran",484027,"0tgVpDi06FyKpA1z0VMD4v","2017-12-01","ch"
8,"Wolves","Selena Gomez",407973,"7EmGUiUaOSGDnUUQUDrOXC","2017-12-01","ch"
9,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",319626,"1bhUWB0zJMIKr9yVPrkEuI","2017-12-01","ch"
10,"Dusk Till Dawn - Radio Edit","ZAYN",364483,"1j4kHkkpqZRBwE0A4CN4Yv","2017-12-01","ch"
11,"Shape of You","Ed Sheeran",0,"7qiZfU4dY1lWllzX7mPBI3","2017-12-01","ch"
11,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",0,"5knuzwU65gJK7IF5yJsuaW","2017-12-01","ch"
11,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN",0,"3NdDpSvN911VPGivFlV5d0","2017-12-01","ch"
11,"Call On Me - Ryan Riback Extended Remix","Starley",0,"78rIJddV4X0HkNAInEcYde","2017-12-01","ch"
11,"Say You Won't Let Go","James Arthur",0,"5uCax9HTNlzGybIStD3vDh","2017-12-01","ch"
11,"Starboy","The Weeknd",0,"5aAx2yezTd8zXrkmtKl66Z","2017-12-01","ch"
11,"Castle on the Hill","Ed Sheeran",0,"6PCUP3dWmTjcTtXY02oFdT","2017-12-01","ch"
11,"Let Me Love You","DJ Snake",0,"4pdPtRcBmOSQDlJ3Fk945m","2017-12-01","ch"
11,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",0,"4aWmUDTfIPGksMNLV2rQP2","2017-12-01","ch"
11,"Paris","The Chainsmokers",0,"72jbDTw1piOOj770jWNeaG","2017-12-01","ch"
11,"Scared to Be Lonely","Martin Garrix",0,"3ebXMykcMXOcLeJ9xZ17XH","2017-12-01","ch"
11,"It Ain't Me (with Selena Gomez)","Kygo",0,"3eR23VReFzcdmS7TYCrhCe","2017-12-01","ch"
11,"Something Just Like This","The Chainsmokers",0,"6RUKPb4LETWmmr3iAEQktW","2017-12-01","ch"
11,"Galway Girl","Ed Sheeran",0,"0afhq8XCExXpqazXczTSve","2017-12-01","ch"
11,"Passionfruit","Drake",0,"7hDc8b7IXETo14hHIHdnhd","2017-12-01","ch"
11,"Mask Off","Future",0,"3rOSwuTsUlJp0Pu0MkN8r8","2017-12-01","ch"
11,"Despacito - Remix","Luis Fonsi",0,"5CtI0qwDJkDQGwXD1H1cLb","2017-12-01","ch"
11,"Symphony (feat. Zara Larsson)","Clean Bandit",0,"1x5sYLZiu9r5E43kMlt9f8","2017-12-01","ch"
11,"HUMBLE.","Kendrick Lamar",0,"7KXjTSCq5nL1LoYtL7XAwS","2017-12-01","ch"
11,"You Don't Know Me - Radio Edit","Jax Jones",0,"00lNx0OcTJrS3MKHcB80HY","2017-12-01","ch"
11,"I'm the One","DJ Khaled",0,"72Q0FQQo32KJloivv5xge2","2017-12-01","ch"
11,"Unforgettable","French Montana",0,"1F2HXIJrE2Xn81OzT2zZvW","2017-12-01","ch"
11,"SUBEME LA RADIO","Enrique Iglesias",0,"7nKBxz47S9SD79N086fuhn","2017-12-01","ch"
11,"Unforgettable","French Montana",0,"3B54sVLJ402zGa6Xm4YGNe","2017-12-01","ch"
11,"2U (feat. Justin Bieber)","David Guetta",0,"3A7qX2QjDlPnazUsRk5y0M","2017-12-01","ch"
11,"I'm the One","DJ Khaled",0,"3DXncPQOG4VBw3QHh3S817","2017-12-01","ch"
11,"Wild Thoughts","DJ Khaled",0,"1OAh8uOEOvTDqkKFsKksCi","2017-12-01","ch"
11,"Thunder","Imagine Dragons",0,"0tKcYR2II1VCQWT79i5NrW","2017-12-01","ch"
11,"Mama","Jonas Blue",0,"0NiXXAI876aGImAd6rTj8w","2017-12-01","ch"
11,"Mi Gente","J Balvin",0,"2rb5MvYT7ZIxbKW5hfcHx8","2017-12-01","ch"
11,"More Than You Know","Axwell /\ Ingrosso",0,"4q8PHoRsPUB52LFylX8Ulz","2017-12-01","ch"
11,"More Than You Know","Axwell /\ Ingrosso",0,"3PEgB3fkiojxms35ntsTgs","2017-12-01","ch"
11,"Friends (with BloodPop®)","Justin Bieber",0,"7nZmah2llfvLDiUjm0kiyz","2017-12-01","ch"
11,"Feels","Calvin Harris",0,"5bcTCxgc7xVfSaMV3RuVke","2017-12-01","ch"
11,"New Rules","Dua Lipa",0,"2ekn2ttSfGqwhhate0LSR0","2017-12-01","ch"
11,"rockstar","Post Malone",0,"1OmcAT5Y8eg5bUPv9qJT4R","2017-12-01","ch"
11,"Too Good At Goodbyes - Edit","Sam Smith",0,"0mel2N9Ws9r4yLQn5QE21Y","2017-12-01","ch"
11,"Look What You Made Me Do","Taylor Swift",0,"6uFsE1JgZ20EXyU0JQZbUR","2017-12-01","ch"
11,"Stargazing","Kygo",0,"0Zbbxnx4SGGHoIow4PpISP","2017-12-01","ch"
11,"What Lovers Do (feat. SZA)","Maroon 5",0,"4mxWSdf71VFO52qFeY0fZt","2017-12-01","ch"
11,"What Lovers Do (feat. SZA)","Maroon 5",0,"3hBBKuWJfxlIlnd9QFoC8k","2017-12-01","ch"
11,"Too Good At Goodbyes","Sam Smith",0,"1mXVgsBdtIVeCLJnSnmtdV","2017-12-01","ch"
